QueryORF	QueryGene	ExperimentOutcome	PredictionScore	Literature	FinalCategory
YAL001C	TFC3		0,48		Core
YAL003W	EFB1		0,34		Core
YAL025C	MAK16		0,28		Core
YAL032C	PRP45	Indispensable	0,27		Core
YAL033W	POP5	Indispensable	0,25		Core
YAL034W-A	MTW1	Indispensable	0,32		Core
YAL038W	CDC19		0,46		Core
YAL041W	CDC24	Indispensable	0,67		Core
YAL043C	PTA1	Indispensable	0,22		Core
YAR007C	RFA1		0,31		Core
YAR008W	SEN34		0,36		Core
YBL004W	UTP20		0,33		Core
YBL018C	POP8		0,25		Core
YBL020W	RFT1	Indispensable	0,44		Core
YBL023C	MCM2		0,22		Core
YBL026W	LSM2	Indispensable	0,35		Core
YBL035C	POL12	Indispensable	0,26		Core
YBL041W	PRE7	Indispensable	0,17		Core
YBL050W	SEC17	Indispensable	0,49		Core
YBL074C	AAR2	Indispensable	0,48		Core
YBL076C	ILS1	Indispensable	0,30		Core
YBL084C	CDC27		0,29		Core
YBL092W	RPL32	Indispensable	0,42		Core
YBL097W	BRN1		0,50		Core
YBR004C	GPI18		0,45		Core
YBR011C	IPP1	Indispensable	0,45		Core
YBR029C	CDS1		0,37		Core
YBR049C	REB1		0,39		Core
YBR055C	PRP6	Indispensable	0,21		Core
YBR060C	ORC2		0,39		Core
YBR079C	RPG1	Indispensable	0,13		Core
YBR080C	SEC18	Indispensable	0,46		Core
YBR087W	RFC5	Indispensable	0,23		Core
YBR088C	POL30		0,29		Core
YBR091C	TIM12		0,40		Core
YBR102C	EXO84	Indispensable	0,33		Core
YBR109C	CMD1	Indispensable	0,34		Core
YBR110W	ALG1	Indispensable	0,44		Core
YBR121C	GRS1		0,28		Core
YBR123C	TFC1	Indispensable	0,38		Core
YBR135W	CKS1	Indispensable	0,46		Core
YBR142W	MAK5	Indispensable	0,30		Core
YBR143C	SUP45		0,25		Core
YBR153W	RIB7	Indispensable	0,65		Core
YBR154C	RPB5		0,20		Core
YBR155W	CNS1	Indispensable	0,59		Core
YBR160W	CDC28		0,26		Core
YBR167C	POP7		0,29		Core
YBR193C	MED8	Indispensable	0,44		Core
YBR196C	PGI1	Indispensable	0,37		Core
YBR198C	TAF5	Indispensable	0,37		Core
YBR202W	MCM7	Indispensable	0,20		Core
YBR211C	AME1	Indispensable	0,28		Core
YBR233W-A	DAD3		0,41		Core
YBR234C	ARC40	Indispensable	0,29		Core
YBR236C	ABD1	Indispensable	0,34		Core
YBR237W	PRP5	Indispensable	0,30		Core
YBR243C	ALG7		0,41		Core
YBR247C	ENP1	Indispensable	0,23		Core
YBR253W	SRB6		0,46		Core
YBR254C	TRS20		0,38		Core
YBR256C	RIB5	Indispensable	0,50		Core
YBR257W	POP4	Indispensable	0,24		Core
YBR265W	TSC10	Indispensable	0,39		Core
YCL017C	NFS1	Indispensable	0,51		Core
YCL031C	RRP7	Indispensable	0,43		Core
YCL043C	PDI1	Indispensable	0,43		Core
YCL052C	PBN1	Indispensable	0,51		Core
YCL054W	SPB1	Indispensable	0,11		Core
YCL059C	KRR1	Indispensable	0,14		Core
